页码,评论内容
4,插混确实解决了油耗和续航的平衡问题 08做工还是很扎实的
4,第一张图片拍的太有感觉了，看上去整个车特别高端！
4,08的电话可能和幺零的差不多，应该还是能达到21个左右吧。车子是一台不错的车。品控还是不错的。
4,反而更想把这些看似普通、但真实有效的日常记录
4,哇塞
4,的确是这样的，这样能耗最低了，通勤价格也会很低了，很不错的通勤表现
4,确实不错，外观时尚前卫颜值担当，内饰奢华配置丰富，驾乘舒适，值得拥有。
4,轻快、转向好控制，城市里走走停停不会累，高速上也很稳，不会有那种“虚”的感觉。你会发现，它的存在感刚刚好——不打扰你，但一直在兜底
4,转向灵活，窄停车场也轻松停稳，还是挺好开的
5,抬头显示很清晰。节俭而不抠门，不慷他人之慨，随心而行，很好的生活态度，有情绪价值，不为情绪所扰，保持这种姿态！
5,帅，互互
5,非常实用，收藏了！👍️
5,什么颜色呀
5,好帅啊
5,车友们，互一下[ahl_耶]
5,一个混动车天天大早晨去外面充电，这不***吗
5,与汽车同行，与世界分享！
5,妙啊👍️
5,省吃俭用具像化
5,写的真好
5,啥也不说了 鼓掌👏
5,又是一辆这个颜色的。严重怀疑这个颜色的涂料成本最低，所以厂家主推这个颜色。我买的时候店里说这个提车最快
